Código,Empresa,Setor,Preço,P/VP,DY
AJFI11,Shoppings,"8,27","7,98%","7,82%","0,75",278.087.000,227.365,12,"597,15","58,86","9,86%","3,30%","Av. Rolf Wiest, n° 333 , Bom Retiro - 89223-005, Joinville - SC, ,R. Sete de Setembro, n° 1213 , Centro - 89010-911, Blumenau - SC, ,Esquina Rod. SC 281, Distrito Industrial - 88104-801, Grande Florianópolis - SC,Av. Santa Catarina, nº 1, Estados - 88339-005, Balneário Camboriú - SC,Rodovia BR-470, nº  3000, Salto Norte - 89065-800, Blumenau - SC,Rodovia BR-470, nº  3000, Salto Norte - 89065-800, Blumenau - SC,Av. Rolf Wiest, n° 333 , Bom Retiro - 89223-005, Joinville - SC, ,Esquina Rod. SC 281, Distrito Industrial - 88104-801, Grande Florianópolis - SC,R. Sete de Setembro, n° 1213 , Centro - 89010-911, Blumenau - SC, ,Av. Jorge Elias de Lucca, nº 765, Nossa Senhora da Salete - 88813-901, Criciúma - SC,Av. Santa Catarina, nº 1, Estados - 88339-005, Balneário Camboriú - SC,Av. Jorge Elias de Lucca, nº 765, Nossa Senhora da Salete - 88813-901, Criciúma - SC"
ALMI11,Escritórios,"630,02","7,35%","6,80%","0,31",70.043.700,11.726,1,"1.567,31","229,74","14,66%","46,80%","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
ALZC11,Outros,"7,85","12,25%","15,62%","0,84",154.971.000,250.276,0,"0,00","0,00","0,00%","0,00%",
ALZM11,Títulos e Val. Mob.,"6,40","11,76%","0,00%","0,86",97.155.500,0,0,"0,00","0,00","0,00%","0,00%",
ALZR11,Multicategoria,"10,55","9,02%","9,46%","0,99",1.340.530.000,2.318.490,23,"3.391,83","291,22","8,59%","11,25%","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000,Rod. Anhanguera, 28, Sem Complemento, Cravinhos, Cravinhos/SP, Brasil, 14140-000,Rua Fritz Reimann, 500, Sem Complemento, Vila Sao Joao, Guarulhos/SP, Brasil, 07044-020,Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715,Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000,Avenida Das Nacoes Unidas, 18001, Sem Complemento, Santo Amaro, Sao Paulo/SP, Brasil, 04795-900,Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001,Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110,Avenida Conselheiro Rodrigues Alves, 300, Sem Complemento, Vila Mariana, São Paulo/SP, Brasil, 04014-000,Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365,Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000,Avenida Brasil, 33809, Sem Complemento, Bangu, Rio De Janeiro/RJ, Brasil, 21852-002,Rua Arapore, 655, Sem Complemento, Jardim Guedala, Sao Paulo/SP, Brasil, 05608-001,Avenida Marginal  Armando Zampini, 28, Sem Complemento, Cravinhos, Cravinhos/SP, Brasil, 14140-000,Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001,Rua Pasquale Gallupi, 7, Sem Complemento, Paraisópolis, São Paulo/SP, Brasil, 05660-000,Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015,Avenida Presidente Juscelino Kubitschek De Oliveira, 3530, Sem Complemento, Jardim Moysés Miguel Haddad, São José Do Rio Preto/SP, Brasil, 15093-215,Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624,Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030,Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002,Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570,Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000"
ALZT11,Títulos e Val. Mob.,"33,00","15,52%","0,00%","0,79",16.500.000,0,0,"0,00","0,00","0,00%","0,00%",
ANCR11,Shoppings,"600,00","1,32%","0,24%","5,04",20.830.600.000,5.180,10,"47.889,90","970,07","2,03%","4,13%","Avenida Bernardo Vieira, lado par, esquina com a Avenida Dr. José Gonçalves, no bairro de Lagoa Nova, zona urbana/sul, Natal/RN,R. Itacaiúna, 61 - Vila Andrade - São Paulo - SP,Av. Cristiano Machado, nº 4000, Belo Horizonte/MG,Av. Praia de Botafogo, 400 - Botafogo, Cep: 22250-040 - Rio de Janeiro - RJ - Brasil.,Av. Abílio Augusto Távora, 1111 - Luz, Nova Iguaçu - RJ,Av. Senador Salgado Filho, nº 2.234 - Candelária - Natal/Rio Grande do Norte,Conjunto A, T137 - Asa Norte - Distrito Federal - Brasília - DF - Brasil. CEP: 70077-900,Rua Dr. José Borges, no bairro de Lagoa Nova, zona suburbana, Natal/RN,Av. Bezerra de Menezes, 2450 - Presidente Kennedy - Fortaleza - CE,Av. Deputado Benedito Matarazzo, 9403 - Jardim Oswaldo Cruz - São José dos Campos - SP"
APTO11,Residencial,"8,26","13,05%","12,64%","0,84",38.097.000,41.184,3,"16.084,60","1.112,22","6,91%","0,00%","Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado
de São Paulo,Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70  Jardim Paulista  Estado
de São Paulo"
APXM11,Shoppings,"78,20","4,95%","5,53%","0,61",221.239.000,571.123,1,"1.208,63","161,31","13,35%","100,00%","Avenida Americo Buaiz, 200, Gleba A, Enseada Do Sua, Vitoria/ES, Brasil, 29050-902"
ARCT11,Multicategoria,"87,13","-60,77%","0,00%","0,86",368.999.000,0,12,"1.100,84","99,19","9,01%","0,00%","Brasilia, Quadra 24, Módulo 1, Setor Habitacional Mestre D armas (planaltina), Brasília/DF, Brasil, 00073-405,Avenida Santos Dumont, 4235, Loteamento Jardim Marilu, Vila Aeroporto, Mirassol/SP, Brasil, 15135-160,Rodovia Juscelino Kubitscheck De Oliveira  Br 364, S/n, Sem Complemento, Área Rural De Frutal, Frutal/MG, Brasil, 00038-207,Avenida Juscelino Kubitschek De Oliveira, 154, Blocos A, B, C, Centro, Votorantim/SP, Brasil, 18110-901,Lote 47 A, Sn, Sem Complemento, Porto Dos Gaúchos, Porto Dos Gaúchos/MT, Brasil, 78560-000,Avenida Costa E Silva, 1275, Sem Complemento, Vila Progresso, Campo Grande/MS, Brasil, 79050-410,Alameda Das Mansoes, 414, Chacaras 414 415 441 442 412 413 443 E 444, Chacaras Mansoes Rosas De Ouro, Goiania/GO, Brasil, 74470-060,Rodovia Washington Luis, Km.198, Sem Complemento, , Corumbatai/SP, Brasil, 13540-000,Rua Professor Luciano Prata, 204, Sem Complemento, Vila Baruel, Sao Paulo/SP, Brasil, 02510-020,Rodovia Br020, 527, Sem Complemento, Campo Grande, Caucaia/CE, Brasil, 61663-015"
AROA11,Multicategoria,"1,30","6,20%","6,48%","1,37",218.305.000,6.421,6,"1.617,65","112,02","6,92%","0,00%","Rua Dragão do Mar,S/N-Aracati-CE,AVENIDA DOUTOR SILAS MUNGUBA, Nº 847 - PARANGABA -
FORTALEZA / CE,Avenida Luciano Magalhães esquina com a Rua José Félix da Silva,663-Canindé-CE,Rua Doutor Pinto de Mendonça,S/N-Quixeramobim-CE,Rodovia Doutor Mendel Steinbruch,S/N-Maracanaú-CE,Avenida Comandante Aviador Childerico Mora,S/N-Maranguape-CE"
ARRI11,Multicategoria,"6,33","11,61%","16,52%","0,76",131.202.000,297.324,0,"0,00","0,00","0,00%","0,00%",
ARTE11,Residencial,"10,34","8,14%","0,00%","0,98",98.239.300,498,0,"0,00","0,00","0,00%","0,00%",
ARXD11,Multicategoria,"7,83","15,12%","13,93%","0,86",69.112.000,73.871,0,"0,00","0,00","0,00%","0,00%",
ASMT11,Outros,"4,10","6,27%","0,00%","0,41",70.113.800,518,3,"4.554,15","766,71","16,84%","0,00%","Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Praia do Flamengo, 66 - Flamengo, Rio de Janeiro - RJ, 22210-030,Rua James Joule, 65 - SP,Av. Brig. Faria Lima, 1306 - SP"
ASRF11,Multicategoria,"10.974,00","-1,08%","0,00%","1,14",43.896.000,1.045,2,"7.067,05","0,00","0,00%","0,00%","Rua Jose Antonio Coelho, 484, Sem Complemento, Vila Mariana, Sao Paulo/SP, Brasil, 04011-061,Rua Jose Antonio Coelho, 486, Sem Complemento, Vila Mariana, Sao Paulo/SP, Brasil, 04011-061"
ATSA11,Shoppings,"58,19","6,42%","4,67%","0,79",101.899.000,2.997,1,"2.968,02","206,18","6,95%","16,68%","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP"
AURB11,Logística,"72,92","6,21%","4,45%","0,90",79.175.100,223.221,2,"1.957,16","170,78","8,73%","0,00%","Estrada Da Olaria, 640, Sem Complemento, Vila Pires, Guarulhos/SP, Brasil, 00007-271,Avenida Papa Joao Xxiii, 3.580, Sem Complemento, Loteamento Industrial Coral, Maua/SP, Brasil, 09370-800"
AZPL11,Logística,"7,80","7,09%","11,98%","0,91",326.997.000,934.369,1,"1.591,55","132,78","8,34%","0,00%","Rodovia Presidente Tancredo de Almeida Neves, Km 45, s/nº. Franco da Rocha."
BARI11,Outros,"79,20","13,79%","6,02%","1,01",367.028.000,0,1,"0,00","0,00","0,00%","0,00%",
BBFI11,Escritórios,"629,00","-5,43%","99,06%","18,55",81.770.000,0,0,"0,00","0,00","0,00%","0,00%","Rua Barao De Sao Francisco, 177, Entrada Pela Rua Gomes Braga, 65, Andarai, Rio De Janeiro/RJ, Brasil, 20560-031"
BBFO11,Multicategoria,"71,41","15,06%","12,79%","0,92",285.918.000,678.491,0,"0,00","0,00","0,00%","0,00%",
BBGO11,Outros,"75,19","19,85%","7,95%","0,81",301.148.000,339.739,0,"0,00","0,00","0,00%","0,00%",
BBIG11,Shoppings,"7,20","15,89%","13,08%","0,75",713.671.000,1.286.260,3,"10.117,90","738,66","7,30%","1,60%","Rua Lauro Müller, 116 - Botafogo, Rio de Janeiro - RJ, 22290-070,Rua Dr. Veiga Filho, 133, Higienópolis, São Paulo - 01229-001,Rua Treze de Maio, 1947 - Bela Vista, São Paulo - 01327-900"
BBPO11,Escritórios,"96,75","10,42%","0,00%","0,95",1.540.230.000,0,61,"3.690,03","479,56","13,00%","1,44%","AV.13 DE MAIO,13,AV.SANTOS DUMONT,2889,R.VOLUNTARIOS DA PATRIA,1769,PRACA GENERAL VALADÃO,377,AV.GOV.PEDRO DE TOLEDO,1101,AV.PRES.KENNEDY,1461,AV.JABAQUARA 424,R. JOAQUIM NABUCO, 246,Av. W3, Quadra 7 ,R.PINHEIROS,1492,R.RIO DE JANEIRO,750,AV.AFONSO PENA,2202,Rua Guilherme Moreira, 315,AV. AFONSO PENA, 745, ESQUINA R. QUINTINO BOCAIUVA,PR.TIRADENTES,410/AL.DR. MURICY,760/R. CANDIDO LOP,R.BOM PASTOR,153/169,Praça Floriano Peixoto/R.PAULO EIRO,471,PCA.RUI BARBOSA,1-55/R.ANT. ALVES, 9-38,AV.S.JOAO,32/R.LIBERO BADARO,568/R.S.BENTO,465,AV.SANTA MARINA 2618,R.DR.NELSON D AVILA,149-CENTRO,PCA. RUI BARBOSA, 322,AV.CONSELHEIRO CARRAO,2411,PRACA XV DE NOVEMBRO, 321,R. BENTO GONCALVES, 516,R.JULIO CONCEICAO,438,QD. 1, BL.G, LT. 32,RUA MORAIS BARROS, 721,R.ESPIRITO SANTO,571, ESQ. C/ RUA CARIJÓS, 185,R.BARORE,284,ALAMEDA DOS JURUPIS, 1156,AV.N.SRA.COPACABANA,594,AV.RIO BRANCO,1437,AV.GEREMARIO DANTAS,78,PCA.CARDEAL ARCOVERDE,52,AV.PRES.VARGAS,248,RUA SAO BENTO, 483 / RUA LIBERO BADARO, 582,Av. Goiás, 980 - Quadra 14,R.VOLUNTARIOS DE S.PAULO,2975,AV.BARTOLOMEU MITRE 438-A,RUA MARQUES DO HERVAL, 1354, EDIFICO SATELITE,Praça XV de Novembro, 329,R.DUQUE DE CAXIAS,725,R.DOMINGOS DE MORAES, 438,R.DR.COSTA AGUIAR,626,SDN CONJ A LOJA C-03 2 PAVIMENTO,R.HONORIO SILVEIRA DIAS,1830,R.TAMOIOS,731/R. GUARANI, 504,SEPN QUADRA 504 BL B EDIFICIO VIRGO,AV.PENHA DE FRANCA,549,PCA.DAS 4 JORNADAS,11,R.NOSSA SENHORA DA LAPA, 281,RUA 7 DE SETEMBRO, 1209,R.DA BAHIA,2500,R. FELINTO MULLER, 2104/PRES.JOSE LINHARES, 50,Rua Professor Álvaro Rodrigues, nº 355, Loja A / Botafogo / RJ,RUA XV DE NOVEMBRO, N. 191,AV.ERNANI AMARAL PEIXOTO, 347"
BBRC11,Outros,"103,97","11,34%","12,90%","0,99",165.312.000,99.810,21,"9.903,16","1.304,20","13,17%","12,53%","R. Guaipá, 1379, São Paulo-SP,Av. Prof. Francisco Morato, 1214, São Paulo-SP,Av. Santo Amaro, 2163, São Paulo-SP,Av. Brasil, 418, São Paulo-SP,Av. Portugal, 519, Santo André-SP,Av. Gal. Pedro Pinho, 635, Osasco-SP,R. Joaquim Floriano, 666, São Paulo-SP,R. Coronel Quirino, 644, Campinas-SP,Av. Amador Bueno da Veiga, 1516, São Paulo-SP,Av. Maria Servidei Demarchi, 1658, São Bernardo do Campo-SP,R. Estados Unidos, 1931, São Paulo-SP,Av. Eng. Heitor Antônio Eiras Garcia, 3963,/3967 São Paulo-SP,Av. Paes de Barros, 2621, São Paulo-SP,Avenida Indianópolis, 476 - Indianópolis, São Paulo - SP,Av. Prof. Francisco Morato, 2004, São Paulo-SP,Rua Inácio Pereira da Rocha, 597 - Pinheiros, São Paulo - SP,Av. Eng. Luis Carlos Berrini, 559, São Paulo-SP,Rua Mal. Deodoro, 440 - Santo Amaro, São Paulo - SP,Av. São Miguel, 2328, São Paulo-SP,R. Pires da Mota, 488, São Paulo-SP,Al. Gabriel Monteiro da Silva, 2032, São Paulo-SP"
BBVJ11,Escritórios,"62,99","2,23%","0,00%","0,86",197.789.000,0,1,"10.225,30","570,89","5,58%","43,70%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
BCFF11,Títulos e Val. Mob.,"7,35","8,06%","0,00%","0,84",1.480.960.000,0,0,"0,00","0,00","0,00%","0,00%","Avenida Das Nacoes Unidas, 14261, Sem Complemento, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000"
BCIA11,Multicategoria,"93,53","11,76%","11,82%","0,89",347.842.000,497.024,0,"0,00","0,00","0,00%","0,00%",
