Código,Empresa,Setor,Preço,P/L,P/VP,ROE,DY
AGIN3,"5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","14,68","16,63%","21,83%","2,72","5,59%","14,56%","0,00","1.028.210.000,00","0,55","44,17%"
AELP3,"1,93","8,49","-200,57","-0,062","0,00%","5,216","0,00","-12,58","0,00","-11,94","-11,98","0,49%","-0,73%","0,00","0,00%","-2.363,83%","0,00","-904.000,00","0,00","1,18%"
AESL4,"10.081,90","8,49","1,76","0,919","0,00%","0,523","-48,76","4,21","-1,03","7,39","7,39","21,81%","10,82%","0,95","13,34%","20,72%","0,00","6.447.780.000,00","1,38","7,98%"
AESL3,"10.081,90","8,49","1,76","0,919","0,00%","0,523","-48,76","4,21","-1,03","7,39","7,39","21,81%","10,82%","0,95","13,34%","20,72%","0,00","6.447.780.000,00","1,38","7,98%"
CPSL3,"38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","5,48","13,59%","9,20%","1,89","57,15%","40,82%","0,00","1.634.730.000,00","0,17","16,21%"
BRFS3,"17,95","8,59","2,10","0,439","12,28%","0,419","3,16","4,29","-1,48","6,47","4,21","10,25%","5,05%","1,36","17,44%","24,47%","0,00","13.601.200.000,00","2,20","7,52%"
BPAR3,"182,07","8,63","0,77","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,96%","0,00","2.242.660.000,00","0,00","9,64%"
MRSA5B,"39,99","8,69","1,56","1,782","2,62%","0,546","6,95","4,72","-1,28","6,57","4,68","37,73%","20,50%","1,54","14,51%","17,97%","939,12","8.651.390.000,00","1,12","13,94%"
MRSA5B,"39,99","8,69","1,56","1,782","2,62%","0,546","6,95","4,72","-1,28","6,57","4,68","37,73%","20,50%","1,54","14,51%","17,97%","939,12","8.651.390.000,00","1,12","13,94%"
ALLL3,"3,97","8,71","0,53","0,533","0,00%","0,137","2,09","1,32","-0,25","4,20","3,01","40,37%","6,25%","1,57","12,25%","6,12%","0,00","13.842.600.000,00","1,67","17,24%"
TMGC12,"550,00","8,71","1,12","0,800","0,00%","0,770","4,66","12,27","8,22","10,94","10,94","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
BGIP3,"61,30","8,72","1,45","0,000","5,19%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,64%","7.197,49","910.539.000,00","0,00","8,80%"
ACES4,"94,73","8,74","2,27","1,683","0,00%","1,430","6,37","7,16","20,65","6,50","6,50","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
ACES3,"95,27","8,79","2,28","1,693","0,00%","1,438","6,40","7,20","20,77","6,54","6,54","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
SMTO3,"20,35","8,80","0,93","0,977","2,24%","0,292","1,33","6,30","-0,84","13,85","4,37","15,51%","11,09%","2,87","5,61%","10,53%","57.119.200,00","7.298.620.000,00","1,56","7,48%"
DIRR3,"13,37","8,82","3,63","1,602","16,58%","0,526","1,54","6,57","-1,46","7,19","6,69","24,40%","22,56%","3,78","9,77%","41,18%","116.243.000,00","1.916.620.000,00","1,49","24,92%"
WLMM4,"21,00","8,84","0,98","0,254","12,86%","0,483","1,77","5,40","5,73","7,20","6,85","4,70%","2,88%","1,85","11,02%","11,11%","46.665,50","778.663.000,00","0,58","15,30%"
MLAS3,"1,32","8,89","0,36","0,276","3,82%","0,206","0,62","-1.290,94","0,79","-1.092,49","16,87","-0,02%","3,11%","1,92","-0,02%","4,11%","1.180.980,00","2.968.100.000,00","0,17","-6,57%"
CZRS4,"2,49","8,89","0,30","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
AFLU5,"5,03","8,93","2,14","2,911","0,00%","1,875","9,63","8,32","11,92","7,38","7,05","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
PFRM3,"8,60","8,96","0,79","0,093","7,49%","0,171","1,06","2,79","-10,18","4,47","2,93","3,33%","1,10%","1,29","11,48%","8,84%","2.240.150,00","1.345.730.000,00","0,65","15,27%"
BMGB11,"33,60","8,98","1,29","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,41%","0,00","3.892.010.000,00","0,00","3,30%"
VIVO3,"65,79","8,99","2,69","1,366","0,00%","1,175","-29,21","6,21","-4,74","6,65","6,65","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
CNFB4,"5,99","9,01","1,57","1,511","0,00%","0,872","3,47","8,27","53,95","10,05","7,85","18,27%","16,77%","2,20","12,01%","17,39%","0,00","1.552.470.000,00","0,47","-10,61%"
RANI3,"9,55","9,09","1,52","1,305","6,30%","0,557","2,46","4,84","-2,00","7,19","4,96","26,99%","14,35%","2,77","15,38%","16,67%","6.974.670,00","1.451.930.000,00","1,32","0,62%"
ALUP4,"11,23","9,14","1,21","2,525","3,80%","0,346","3,02","3,90","-0,83","7,20","6,76","64,71%","39,41%","2,45","9,92%","13,26%","134.671,00","9.163.890.000,00","1,38","-3,01%"
AFLU3,"5,15","9,15","2,19","2,981","0,00%","1,919","9,86","8,52","12,21","7,57","7,24","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
TAEE3,"14,07","9,20","1,91","3,145","7,65%","0,646","11,24","6,38","-1,28","10,87","10,58","49,29%","34,17%","1,57","10,61%","20,76%","1.161.480,00","7.608.980.000,00","1,44","9,69%"
ISAE3,"34,30","9,23","1,07","2,401","4,57%","0,479","4,35","6,29","-1,21","10,15","10,05","38,17%","26,68%","3,76","8,02%","11,57%","105.637,00","21.151.500.000,00","0,76","15,51%"
SBFG3,"12,44","9,27","0,99","0,393","4,40%","0,319","2,29","5,33","-2,19","9,28","5,11","7,38%","4,24%","1,36","7,68%","10,72%","29.204.300,00","3.059.790.000,00","0,96","10,10%"
LIGT3,"5,34","9,34","0,37","0,133","0,00%","0,077","-1,67","1,22","-0,13","6,10","3,91","10,88%","1,42%","0,82","7,68%","3,91%","6.775.160,00","5.448.690.000,00","1,78","1,30%"
TAEE11,"42,83","9,34","1,94","3,191","7,54%","0,656","11,40","6,47","-1,30","10,96","10,67","49,29%","34,17%","1,57","10,61%","20,76%","84.826.000,00","7.608.980.000,00","1,44","9,69%"
TAEE4,"14,41","9,43","1,96","3,221","7,47%","0,662","11,51","6,53","-1,32","11,02","10,73","49,29%","34,17%","1,57","10,61%","20,76%","2.317.840,00","7.608.980.000,00","1,44","9,69%"
ITSA4,"13,92","9,47","1,76","18,923","8,81%","1,404","20,10","589,04","-24,09","607,40","105,48","3,21%","200,63%","3,18","0,25%","18,58%","455.995.000,00","88.755.000.000,00","0,12","-0,11%"
KEPL3,"8,24","9,48","1,91","0,994","5,25%","0,979","3,07","9,30","5,94","9,41","7,59","10,68%","10,49%","1,96","14,29%","20,18%","34.060.600,00","774.231.000,00","0,43","2,72%"
MRSL4,"3,05","9,48","0,91","0,816","0,00%","0,609","2,19","15,08","5,80","16,51","8,83","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
